line_cd,line_sort,rr_name,line_type,enabled,last_date,line_name,line_nickname
22004,22004,2,1,,西武鉄道,豊島線,
22005,22005,2,1,,西武鉄道,狭山線,
22006,22006,6,1,,西武鉄道,山口線,
22007,22007,2,1,,西武鉄道,新宿線,
22008,22008,2,1,,西武鉄道,拝島線,
22009,22009,2,1,,西武鉄道,西武園線,
22010,22010,2,1,,西武鉄道,国分寺線,
22011,22011,2,1,,西武鉄道,多摩湖線,
22012,22012,2,1,,西武鉄道,多摩川線,
23001,23001,2,1,,京成電鉄,本線,
23002,23002,2,1,,京成電鉄,押上線,
23003,23003,2,1,,京成電鉄,金町線,
23004,23004,2,1,,京成電鉄,千葉線,
23005,23005,2,1,,京成電鉄,千原線,
23006,23006,2,1,,京成電鉄,成田空港線,成田スカイアクセス
23081,23001,2,1,,京成電鉄,東成田線,
24001,24001,2,1,,京王電鉄,京王線,
24002,24002,2,1,,京王電鉄,相模原線,
24003,24003,2,1,,京王電鉄,高尾線,
24004,24004,2,1,,京王電鉄,競馬場線,
24005,24005,2,1,,京王電鉄,動物園線,
24006,24006,2,1,,京王電鉄,井の頭線,
25001,25001,2,1,,小田急電鉄,小田原線,
25002,25002,2,1,,小田急電鉄,江ノ島線,
25003,25003,2,1,,小田急電鉄,多摩線,
26001,26001,2,1,,東京急行電鉄,東横線,
26002,26002,2,1,,東京急行電鉄,目黒線,
26003,26003,2,1,,東京急行電鉄,田園都市線,
26004,26004,2,1,,東京急行電鉄,大井町線,
26005,26005,2,1,,東京急行電鉄,池上線,
26006,26006,2,1,,東京急行電鉄,東急多摩川線,
26007,26007,3,1,,東京急行電鉄,世田谷線,
26008,26008,2,1,,東京急行電鉄,こどもの国線,
27001,27001,2,1,,京浜急行電鉄,本線,
27002,27002,2,1,,京浜急行電鉄,空港線,
27003,27003,2,1,,京浜急行電鉄,大師線,
27004,27004,2,1,,京浜急行電鉄,逗子線,
27005,27005,2,1,,京浜急行電鉄,久里浜線,
28001,28001,2,1,,東京メトロ,銀座線,
28002,28002,2,1,,東京メトロ,丸ノ内線,
28003,28003,2,1,,東京メトロ,日比谷線,
28004,28004,2,1,,東京メトロ,東西線,
28005,28005,2,1,,東京メトロ,千代田線,
28006,28006,2,1,,東京メトロ,有楽町線,
28007,28007,2,1,,東京メトロ,有楽町新線,
28008,28008,2,1,,東京メトロ,半蔵門線,
28009,28009,2,1,,東京メトロ,南北線,
28010,28010,2,1,,東京メトロ,副都心線,
28082,28002,2,1,,東京メトロ,丸ノ内線分岐線,
29001,29001,2,1,,相模鉄道,本線,
29002,29002,2,1,,相模鉄道,いずみ野線,
30001,30001,2,1,,名古屋鉄道,名古屋本線,
30002,30002,3,1,,名古屋鉄道,豊川線,
30003,30003,2,1,,名古屋鉄道,西尾線,
30004,30004,2,1,,名古屋鉄道,蒲郡線,
30005,30005,2,1,,名古屋鉄道,三河線,
30006,30006,2,1,,名古屋鉄道,豊田線,
30007,30007,2,1,,名古屋鉄道,空港線,
30008,30008,2,1,,名古屋鉄道,常滑線,
30009,30009,2,1,,名古屋鉄道,河和線,
30010,30010,2,1,,名古屋鉄道,知多新線,
30011,30011,2,1,,名古屋鉄道,築港線,
30012,30012,2,1,,名古屋鉄道,瀬戸線,
30013,30013,2,1,,名古屋鉄道,津島線,
30014,30014,2,1,,名古屋鉄道,尾西線,
30015,30015,2,1,,名古屋鉄道,犬山線,
30016,30016,2,1,,名古屋鉄道,各務原線,
30017,30017,2,1,,名古屋鉄道,広見線,
30018,30018,2,1,,名古屋鉄道,小牧線,
30019,30019,2,1,,名古屋鉄道,犬山モノレール線,
30020,30020,2,1,,名古屋鉄道,竹鼻線,
30021,30021,2,1,,名古屋鉄道,羽島線,
31001,31001,2,1,,近畿日本鉄道,難波線,
31002,31002,2,1,,近畿日本鉄道,橿原線,
31003,31003,2,1,,近畿日本鉄道,南大阪線,
31004,31004,2,1,,近畿日本鉄道,養老線,
31005,31005,2,1,,近畿日本鉄道,大阪線,
31006,31006,2,1,,近畿日本鉄道,伊賀線,
31007,31007,2,1,,近畿日本鉄道,吉野線,
31008,31008,2,1,,近畿日本鉄道,湯の山線,
31009,31009,2,1,,近畿日本鉄道,山田線,
