日本の鉄道路線一覧,2011年7月1日時点のデータ,,,,,,最終更新　2011年10月16日
総合計,27443.0,,,,,27443.0,
会社名,距離(km),種別,線名,区間,,距離(km),備考
,,,日光線,東武動物公園,東武日光,94.5,
,,,鬼怒川線,下今市,新藤原,16.2,
,,,宇都宮線,新栃木,東武宇都宮,24.3,
,,,野田線,大宮,船橋,62.7,
,,,東上本線,池袋,寄居,75.0,
,,,越生線,坂戸,越生,10.9,
京成電鉄,120.0,,,,,,
,,,本線,京成上野,駒井野分岐部,67.2,
,,,本線(1),駒井野分岐部,成田空港,2.1,第２種　第３種は成田空港高速鉄道
,,,東成田線,京成成田,駒井野分岐部,,本線と重複　距離合計から除外（距離6.0km）
,,,東成田線(1),駒井野分岐部,東成田,1.1,
,,,押上線,押上,青砥,5.7,
,,,千葉線,京成津田沼,千葉中央,12.9,
,,,千原線,千葉中央,ちはら台,10.9,
,,,金町線,京成高砂,京成金町,2.5,
,,,成田空港線,京成高砂,小室,,第２種　第１種は北総鉄道　距離合計から除外（距離19.8km）
,,,成田空港線(1),小室,印旛日本医大,,第２種　第３種は千葉ニュータウン鉄道　距離合計から除外（距離12.5km）
,,,成田空港線(2),印旛日本医大,成田空港高速鉄道線接続点,10.7,第２種　第３種は成田高速鉄道アクセス
,,,成田空港線(3),成田高速鉄道アクセス線接続点,（接続点）,6.9,第２種　第３種は成田空港高速鉄道
,,,成田空港線(4),（接続点）,成田空港,,第２種　第３種は成田空港高速鉄道　本線と重複　距離合計から除外（距離1.5km）
西武鉄道,176.6,,,,,,
,,,池袋線,池袋,吾野,57.8,
,,,西武秩父線,吾野,西武秩父,19.0,
,,,新宿線,西武新宿,本川越,47.5,
,,,西武園線,東村山,西武園,2.4,
,,,国分寺線,東村山,国分寺,7.8,
,,,多摩湖線,国分寺,西武遊園地,9.2,
,,,西武有楽町線,練馬,小竹向原,2.6,
,,,豊島線,練馬,豊島園,1.0,
,,,狭山線,西所沢,西武球場前,4.2,
,,,拝島線,小平,拝島,14.3
,,,多摩川線,武蔵境,是政,8.0
,,案内,山口線,西武遊園地,西武球場前,2.8
京王電鉄,84.7,,,,,
,,,京王線,新宿,京王八王子,37.9
,,,相模原線,調布,橋本,22.6
,,,高尾線,北野,高尾山口,8.6
,,,競馬場線,東府中,府中競馬正門前,0.9
,,,動物園線,高幡不動,多摩動物公園,2.0
,,,井の頭線,渋谷,吉祥寺,12.7
小田急電鉄,120.5,,,,,
,,,小田原線,新宿,小田原,82.5
,,,江ノ島線,相模大野（分岐点）,片瀬江ノ島,27.4
,,,多摩線,新百合ヶ丘,唐木田,10.6
東京急行電鉄,97.5,,,,,
,,,東横線,渋谷,横浜,24.2
,,,目黒線,目黒,田園調布,6.5,
,,,田園都市線,渋谷,中央林間,31.5,
,,,大井町線,大井町,二子玉川,10.4,
,,,東急多摩川線,多摩川,蒲田,5.6,
,,,池上線,五反田,蒲田,10.9,
,,,こどもの国線,長津田,こどもの国,3.4,第２種　第３種は横浜高速鉄道
,,軌道,世田谷線,三軒茶屋,下高井戸,5.0,
京浜急行電鉄,87.0,,,,,,
,,,本線,泉岳寺,品川,1.2,
,,,本線(1),品川,浦賀,55.5,
,,,空港線,京急蒲田,羽田空港国内線ターミナル,6.5,
,,,大師線,京急川崎,小島新田,4.5,
,,,逗子線,金沢八景,新逗子,5.9,「逗」は不正確
,,,久里浜線,堀ノ内,三崎口,13.4,
御岳登山鉄道,1.0,,,,,,
,,鋼索,（なし）,滝本,御岳山,1.0,
高尾登山電鉄,1.0,,,,,,
,,鋼索,高尾鋼索線,清滝,高尾山,1.0,
東京モノレール,17.8,,,,,,
,,跨座,東京モノレール羽田空港線,羽田空港第２ビル,モノレール浜松町,17.8,
多摩都市モノレール,16.0,,,,,,
,,跨座,多摩都市モノレール線,多摩センター,上北台,16.0,軌道法
ゆりかもめ,14.7,,,,,,
,,案内,東京臨海新交通臨海線,新橋,日の出,2.2,軌道法
,,案内,東京臨海新交通臨海線(1),日の出,お台場海浜公園,4.7,
,,案内,東京臨海新交通臨海線(2),お台場海浜公園,テレコムセンター,2.3,軌道法
,,案内,東京臨海新交通臨海線(3),テレコムセンター,国際展示場正門,2.1,
,,案内,東京臨海新交通臨海線(4),国際展示場正門,豊洲,3.4,軌道法
東京臨海高速鉄道,12.2,,,,,,
,,,りんかい線,新木場,大崎,12.2,
東京地下鉄,192.1,,,,,,
,,,３号線銀座線,浅草,渋谷,14.3,
,,,４号線丸ノ内線,池袋,荻窪,24.2,
,,,４号線丸ノ内線分岐線,中野坂上,方南町,3.2,
,,,２号線日比谷線,北千住,中目黒,20.3,
,,,５号線東西線,中野,西船橋,30.8,
,,,９号線千代田線,綾瀬,代々木上原,21.9,
,,,９号線千代田線(1),綾瀬,北綾瀬,2.1,
,,,８号線有楽町線,和光市,新木場,28.3,
,,,１１号線半蔵門線,渋谷,押上,16.8,
,,,７号線南北線,目黒,赤羽岩淵,21.3,
,,,１３号線副都心線,池袋,渋谷,8.9,
東京都交通局,128.9,,,,,,
,,,１号線浅草線,西馬込,押上,18.3,
,,,６号線三田線,目黒,白金高輪,,第２種　第１種は東京地下鉄　距離合計から除外（距離2.3km）
,,,６号線三田線(1),白金高輪,西高島平,24.2,
,,,１０号線新宿線,新宿,本八幡,23.5,
,,,１２号線大江戸線,都庁前,光が丘,40.7,都庁前−新宿西口−新宿−都庁前−光が丘
,,懸垂,上野懸垂線,上野動物園東園,上野動物園西園,0.3,
,,案内,日暮里・舎人ライナー,日暮里,見沼代親水公園,9.7,軌道法
,,軌道,荒川線,三ノ輪橋,早稲田,12.2,
相模鉄道,35.9,,,,,,
,,,本線,横浜,海老名,24.6,
,,,いずみ野線,二俣川,湘南台,11.3,
江ノ島電鉄,10.0,,,,,,
,,,江ノ島電鉄線,藤沢,鎌倉,10.0,
箱根登山鉄道,16.2,,,,,,
,,,鉄道線,小田原,強羅,15.0,
,,鋼索,鋼索線,強羅,早雲山,1.2,
大山観光電鉄,0.8,,,,,,
,,鋼索,大山鋼索線,大山ケーブル,阿夫利神社,0.8,
湘南モノレール,6.6,,,,,,
,,懸垂,江の島線,大船,湘南江の島,6.6,
横浜新都市交通,10.6,,,,,,
,,案内,金沢シーサイドライン,新杉田,金沢八景,10.6,軌道法
横浜市交通局,53.4,,,,,,
,,,１号線,関内,湘南台,19.7,
,,,３号線,関内,あざみ野,20.7,
,,,４号線,日吉,中山,13.0,
横浜高速鉄道,4.1,,,,,,
,,,みなとみらい２１線,横浜,元町・中華街,4.1,
富士急行,26.6,,,,,,
,,,大月線,大月,富士山,23.6,
,,,河口湖線,富士山,河口湖,3.0,
伊豆箱根鉄道,29.7,,,,,,
,,,大雄山線,小田原,大雄山,9.6,
,,,駿豆線,三島,修善寺,19.8,
,,鋼索,十国鋼索線,十国登り口,十国峠,0.3,
伊豆急行,45.7,,,,,,
,,,伊豆急行線,伊東,伊豆急下田,45.7,
岳南鉄道,9.2,,,,,
,,,岳南線,吉原,岳南江尾,9.2
静岡鉄道,11.0,,,,,
,,,静岡清水線,新静岡,新清水,11.0
大井川鐵道,65.0,,,,,
,,,大井川本線,金谷,千頭,39.5
,,,井川線,千頭,井川,25.5
遠州鉄道,17.8,,,,,
,,,鉄道線,新浜松,西鹿島,17.8
天竜浜名湖鉄道,67.7,,,,,
,,,天竜浜名湖線,掛川,新所原,67.7
名古屋鉄道,444.2,,,,,
,,,名古屋本線,豊橋,名鉄岐阜,99.8
,,,西尾線,新安城,吉良吉田,24.7
,,,三河線,猿投,碧南,39.8
,,,豊田線,赤池,梅坪,15.2
,,,蒲郡線,吉良吉田,蒲郡,17.6,
,,,常滑線,神宮前,常滑,29.3,
,,,築港線,大江,東名古屋港,1.5,
,,,河和線,太田川,河和,28.8,
,,,知多新線,富貴,内海,13.9,
,,,瀬戸線,栄町,尾張瀬戸,20.6,
,,,小牧線,上飯田,味鋺,2.3,第２種　第３種は上飯田連絡線
,,,小牧線(1),味鋺,犬山,18.3,
,,,各務原線,名鉄岐阜,新鵜沼,17.6,
,,,犬山線,枇杷島分岐点,新鵜沼,26.8,
,,,広見線,犬山,御嵩,22.3,
,,,津島線,須ヶ口,津島,11.8,
,,,尾西線,弥富,玉ノ井,30.9,
,,,竹鼻線,笠松,江吉良,10.3,
,,,羽島線,江吉良,新羽島,1.3,
,,,豊川線,国府,豊川稲荷,7.2,軌道法
,,,空港線,常滑,中部国際空港,4.2,第２種　第３種は中部国際空港連絡鉄道
豊橋鉄道,23.4,,,,,,
,,,渥美線,新豊橋,三河田原,18.0,
,,軌道,東田本線,駅前,赤岩口,4.8,
,,軌道,東田本線(1),井原,運動公園前,0.6,
名古屋臨海高速鉄道,15.2,,,,,,
,,,西名古屋港線,名古屋,金城ふ頭,15.2,
愛知環状鉄道,45.3,,,,,,
,,,愛知環状鉄道線,岡崎,高蔵寺,45.3,
東海交通事業,11.2,,,,,,
,,,城北線,勝川,枇杷島,11.2,第２種　第１種は東海旅客鉄道
名古屋ガイドウェイバス,6.5,,,,,,
,,案内,ガイドウェイバス志段味線,大曽根,小幡緑地,6.5,軌道法
愛知高速交通,8.9,,,,,,
,,浮上,東部丘陵線,藤が丘,八草,8.9,軌道法
名古屋市交通局,93.3,,,,,,
,,,１号線東山線,高畑,藤が丘,20.6,
,,,２号線名城線及び名港線,大曽根,名古屋港,14.9,
,,,４号線名城線,大曽根,金山,17.5,
,,,３号線鶴舞線,上小田井,赤池,20.4,
,,,６号線桜通線,中村区役所,徳重,19.1,
,,,上飯田線,平安通,上飯田,0.8,第２種　第３種は上飯田連絡線
三岐鉄道,47.0,,,,,,
,,,三岐線,三岐朝明（信）,西藤原,25.5,
,,,近鉄連絡線,三岐朝明（信）,近鉄富田,1.1,
,,,北勢線,西桑名,阿下喜,20.4,
伊勢鉄道,22.3,,,,,,
,,,伊勢線,河原田,津,22.3,
養老鉄道,57.5,,,,,,
,,,養老線,桑名,揖斐,57.5,第２種　第３種は近畿日本鉄道
伊賀鉄道,16.6,,,,,,
,,,伊賀線,伊賀上野,伊賀神戸,16.6,第２種　第３種は近畿日本鉄道
明知鉄道,25.1,,,,,,
,,,明知線,恵那,明智,25.1,
長良川鉄道,72.1,,,,,,
,,,越美南線,美濃太田,北濃,72.1,
樽見鉄道,34.5,,,,,,
,,,樽見線,大垣,樽見,34.5,
富山地方鉄道,100.5,,,,,,
,,,本線,電鉄富山,宇奈月温泉,53.3,
,,,立山線,寺田,立山,24.2,
,,,不二越線,稲荷町,南富山,3.3,
,,,上滝線,南富山,岩峅寺,12.4,
,,軌道,本線(1),富山駅前,南富山駅前,3.6,
,,軌道,支線,富山駅前,丸の内,1.0,
,,軌道,安野屋線,丸の内,安野屋,0.6,
,,軌道,呉羽線,安野屋,大学前,1.2,
